kind,name,size,price
regular pizza,Cheese,Small,12.70
regular pizza,Cheese,Large,17.95
regular pizza,1 topping,Small,13.70
regular pizza,1 topping,Large,19.95
regular pizza,2 toppings,Small,15.20
regular pizza,2 toppings,Large,21.95
regular pizza,3 toppings,Small,16.20
regular pizza,3 toppings,Large,23.95
regular pizza,Special,Small,17.75
regular pizza,Special,Large,25.95
silician pizza,Cheese,Small,24.45
silician pizza,Cheese,Large,38.70
silician pizza,1 item,Small,26.45
silician pizza,1 item,Large,40.70
silician pizza,2 items,Small,28.45
silician pizza,2 items,Large,42.70
silician pizza,3 items,Small,29.45
silician pizza,3 items,Large,44.70
silician pizza,Special,Small,30.45
silician pizza,Special,Large,45.70
sub,Cheese,Small,6.50
sub,Cheese,Large,7.95
sub,Italian,Small,6.50
sub,Italian,Large,7.95
sub,Ham + Cheese,Small,6.50
sub,Ham + Cheese,Large,7.95
sub,Meatball,Small,6.50
sub,Meatball,Large,7.95
sub,Tuna,Small,6.50
sub,Tuna,Large,7.95
sub,Turkey,Small,7.50
sub,Turkey,Large,8.50
sub,Chicken Parmigiana,Small,7.50
sub,Chicken Parmigiana,Large,8.50
sub,Eggplant Parmigiana,Small,6.50
sub,Eggplant Parmigiana,Large,7.95
sub,Steak,Small,6.50
sub,Steak,Large,7.95
sub,Steak + Cheese,Small,6.95
sub,Steak + Cheese,Large,8.50
sub,+ Mushrooms,Small,+0.50
sub,+ Mushrooms,Large,+0.50
sub,+ Green Peppers,Small,+0.50
sub,+ Green Peppers,Large,+0.50
sub,+ Onions,Small,+0.50
sub,+ Onions,Large,+0.50
sub,"Sausage, Peppers & Onions",Large,8.50
sub,Hamburger,Small,4.60
sub,Hamburger,Large,6.95
sub,Cheeseburger,Small,5.10
sub,Cheeseburger,Large,7.45
sub,Fried Chicken,Small,6.95
sub,Fried Chicken,Large,8.50
sub,Veggie,Small,6.95
sub,Veggie,Large,8.50
sub,Extra Cheese on any sub,Small,+0.50
sub,Extra Cheese on any sub,Large,+0.50
pasta,Baked Ziti w/Mozzarella,,6.50
pasta,Baked Ziti w/Meatballs,,8.75
pasta,Baked Ziti w/Chicken,,9.75
salad,Garden Salad,,6.25
salad,Greek Salad,,8.25
salad,Antipasto,,8.25
salad,Salad w/Tuna,,8.25
dinner platter,Garden Salad,Small,40.00
dinner platter,Garden Salad,Large,65.00
dinner platter,Greek Salad,Small,50.00
dinner platter,Greek Salad,Large,75.00
dinner platter,Antipasto,Small,50.00
dinner platter,Antipasto,Large,75.00
dinner platter,Baked Ziti,Small,40.00
dinner platter,Baked Ziti,Large,65.00
dinner platter,Meatball Parm,Small,50.00
dinner platter,Meatball Parm,Large,75.00
dinner platter,Chicken Parm,Small,55.00
dinner platter,Chicken Parm,Large,85.00
